molecule_id,Filename,lifetime,SMILES
58,acceptor58.sdf,5.681818,c1ccc(-c2c3ccccc3c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5n4-c4ccccc4)cc3)c3ccccc23)cc1
59,acceptor59.sdf,0.228071,c1ccc(-n2c(-c3ccc(-c4c5ccccc5c(-c5ccc(-c6nc7c8ccccc8c8ccccc8c7n6-c6ccccc6)cc5)c5ccccc45)cc3)nc3ccccc32)cc1
60,acceptor60.sdf,0.043989,CC[Si](C#Cc1c2cc3ccsc3cc2c(C#C[Si](CC)(CC)CC)c2cc3ccsc3cc12)(CC)CC
61,acceptor61.sdf,0.209732,F[B-]1(F)Oc2c(-c3c4ccccc4cc4ccccc34)ccc3ccc4ccc[n+]1c4c23
62,acceptor62.sdf,2.639567,C=C(C)C(=O)OCCCc1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1
63,acceptor63.sdf,1.323802,O=S(=O)(O)c1ccc2c(-c3ccccc3)c3ccccc3c(-c3ccccc3)c2c1
64,acceptor64.sdf,0.13598,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(OCc5ccc(-c6c7ccccc7c(-c7ccccc7)c7ccccc67)cc5)CC[C@]4(C)[C@H]3CC[C@]12C
66,acceptor66.sdf,38.726517,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
67,acceptor67.sdf,94.72388,CC(C)(C)c1cc2cc(C(C)(C)C)cc3c4cc(C(C)(C)C)cc5cc(C(C)(C)C)cc(c(c1)c23)c54
68,acceptor68.sdf,0.150505,O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O
69,acceptor69.sdf,1.00E-06,CCC(CC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CC)CC)C5=O
70,acceptor70.sdf,0.008138,CCC(C)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(C)CC)C5=O
71,acceptor71.sdf,10.711225,c1ccc(-c2ccc3c4cccc5cccc(c6cccc2c63)c54)cc1
72,acceptor72.sdf,468.456483,C#Cc1ccc2c3cccc4cccc(c5cccc1c52)c43
73,acceptor73.sdf,169.241965,C(#Cc1ccc2c3cccc4cccc(c5cccc1c52)c43)c1ccccc1
74,acceptor74.sdf,6.72043,CCCCn1c2ccccc2c2cc(C#Cc3ccc4c5cccc6cccc(c7cccc3c74)c65)ccc21
75,acceptor75.sdf,0.008665,CCCCC(CC)CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O
76,acceptor76.sdf,0.225734,CC(C)(C)c1ccc(C#Cc2ccc3c4ccc(C#Cc5ccc(C(C)(C)C)cc5)c5cccc(c6cccc2c63)c54)cc1
77,acceptor77.sdf,6.642929,CC(C)(C)C#Cc1ccc2c3ccc(C#CC(C)(C)C)c4cccc(c5cccc1c52)c43
78,acceptor78.sdf,11.709602,CC(C)COC(=O)c1ccc2c3cccc4c(C(=O)OCC(C)C)ccc(c5cccc1c52)c43
79,acceptor79.sdf,0.000585,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O
80,acceptor80.sdf,1.68492,CCC1=C(C)C2=C(c3ccccc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C
81,acceptor81.sdf,0.00073,CC1=C(I)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(I)c(C)n1[B-]2(F)F
82,acceptor82.sdf,7.446016,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F
83,acceptor83.sdf,0.003912,CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]2(F)F
84,acceptor84.sdf,3.10E-05,CCC1=C(C)C2=C(c3ccc(I)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C
85,acceptor85.sdf,1683.501684,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cccc6cccc(c7cccc3c74)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F
86,acceptor86.sdf,0.42123,CCC1=C(C)C2=C(c3ccc(-c4ccc5c6cccc7cccc(c8cccc4c85)c76)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C
88,acceptor88.sdf,0.029867,c1nnc[nH]1
89,acceptor89.sdf,100.908174,C1=CCCC=C1
90,acceptor90.sdf,24.408103,C1=CC=CCC=C1
91,acceptor91.sdf,4.231909,N#Cc1ccccc1
92,acceptor92.sdf,0.006168,c1ccncc1
94,acceptor94.sdf,0.374476,COC(=O)c1ccc(C(=O)OC)cc1
96,acceptor96.sdf,0.642684,COC(=O)c1ccc(C#N)cc1
98,acceptor98.sdf,9.342302,c1ccc2ccccc2c1
99,acceptor99.sdf,0.001086,CCOC(=O)c1cccc2ccccc12
100,acceptor100.sdf,0.695157,CCOC(=O)c1ccc2ccccc2c1
101,acceptor101.sdf,0.433238,COC(=O)Cc1cccc2ccccc12
102,acceptor102.sdf,2.323587,COC(=O)c1ccc2cc(C(=O)OC)ccc2c1
103,acceptor103.sdf,0.016568,COC(=O)c1ccc(C(=O)OC)c2ccccc12
104,acceptor104.sdf,14.89292,N#Cc1cccc2ccccc12
105,acceptor105.sdf,12.00509,N#Cc1ccc(C#N)c2ccccc12
106,acceptor106.sdf,0.00027,Brc1ccc(Br)c2ccccc12
107,acceptor107.sdf,0.00051,Brc1cccc2ccccc12
108,acceptor108.sdf,0.000184,Ic1cccc2ccccc12
109,acceptor109.sdf,0.000521,O=C(O)c1cccc2ccccc12
110,acceptor110.sdf,2.452784,c1ccc(-c2ccc3ccccc3c2)cc1
111,acceptor111.sdf,0.379867,Clc1ccccc1-c1ccccc1
112,acceptor112.sdf,0.00011,COC(=O)c1ccc(-c2ccccc2)cc1
113,acceptor113.sdf,0.000166,Brc1ccc(-c2ccc(Br)cc2)cc1
114,acceptor114.sdf,0.396416,CCCCOC(=O)c1ccc(-c2cccc(C(=O)OCCCC)c2)cc1
115,acceptor115.sdf,5.50E-05,COC(=O)c1ccc(-c2ccc(C(=O)OC)cc2)cc1
116,acceptor116.sdf,141.850008,C(#Cc1ccccc1)c1ccccc1
117,acceptor117.sdf,0.179211,c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1
118,acceptor118.sdf,0.458505,c1ccc(-c2cnc(-c3ccccc3)o2)cc1
119,acceptor119.sdf,0.060643,c1ccc2c(c1)Nc1ccccc1O2
120,acceptor120.sdf,0.381388,CC(C)(C)c1ccc(-c2nnc(-c3ccc(-c4ccccc4)cc3)o2)cc1
121,acceptor121.sdf,0.02287,Oc1ccc2nc(-c3nc(O)cs3)sc2c1
122,acceptor122.sdf,0.003843,O=C(O)c1cc2cc3c4c(c2oc1=O)CCCN4CCC3
123,acceptor123.sdf,0.831561,COc1cc(=O)oc2ccccc12
124,acceptor124.sdf,0.023639,c1cnc2c(c1)ccc1cccnc12
125,acceptor125.sdf,0.020561,c1ccc2c(c1)cnc1ccccc12
126,acceptor126.sdf,150.105074,Cc1cccc2c1ccc1ccccc12
127,acceptor127.sdf,0.001199,Brc1cc2ccccc2c2ccccc12
128,acceptor128.sdf,90.407739,N#Cc1cc2ccccc2c2ccccc12
129,acceptor129.sdf,6.983679,c1ccc2c(c1)-c1cccc3cccc-2c13
130,acceptor130.sdf,24.488197,c1ccc2cccc-2cc1
131,acceptor131.sdf,0.967118,OC1c2ccccc2CCc2ccccc21
132,acceptor132.sdf,14.338973,c1ccc2c(c1)[nH]c1ccccc12
133,acceptor133.sdf,0.857633,CC(C)(C)c1ccc2[nH]c3ccc(C(C)(C)C)cc3c2c1
134,acceptor134.sdf,0.061774,CC(C)(C)c1ccc2[nH]c3ccc(C(F)(F)F)cc3c2c1
135,acceptor135.sdf,4.662005,c1ccc2c(c1)CCc1ccccc1N2
