1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Lifetime,Filename
0.0,0.9365498,0.0,0.46448207,1.3017478,0.90428853,0.41474104,1.5603304,0.76931334,0.0,0.0,0.0,0.0,1.2966523,0.9385106,1.2087849,0.82124496,0.0,0.50700414,0.43810594,1.4082147,1.6843517,0.0,0.0,0.0,1.1889923,0.41363698,0.427432,1.4359092,1.1371591,0.25789475,0.0,0.0,1
1.7967093,1.0928062,2.2893457,0.7155298,1.0370762,1.1340379,0.6501293,1.0775266,1.1162553,1.639229,0.0,0.0,0.0,1.4874244,0.2943645,0.40427637,1.0151227,0.0,0.724543,0.7042166,0.0,0.94147325,0.0,2.1079023,0.0,1.4185841,0.54420763,0.6018943,0.0,1.3578422,0.0,0.0,0.0,2
0.4277979,1.4033042,0.0,1.0087174,0.83720493,1.3245941,0.93710256,0.7357765,1.4212077,1.942213,0.0,0.0,0.0,1.7314036,0.47127348,0.47625786,1.3641453,0.0,1.0222481,0.99569523,0.0,0.49476835,0.0,0.0,0.5525999,1.6433198,0.7365505,0.7825486,0.0,1.565382,0.0,0.0,0.0,3
0.4906795,1.08087,0.40621483,0.7317525,0.8497932,1.1227609,0.66298413,0.87276274,1.0999372,1.3417089,0.0,0.0,0.0,1.4940221,0.45833236,0.5544792,0.97809815,0.0,0.74562395,0.71862304,0.0,0.95653987,0.0,1.5503716,0.0,1.4239037,0.5635596,0.606461,0.12488019,1.3626361,0.0,0.0,0.0,4
1.838331,0.93639433,1.1762381,0.53807104,0.8694153,0.9869994,0.48211706,0.487201,1.0028036,2.594984,0.0,0.0,0.0,1.3029764,0.0,0.0,0.90757155,0.0,0.5376638,0.5312046,0.0,0.20419496,0.0,0.47509766,0.0,1.2691686,0.39516598,0.50120264,0.0,1.2251034,0.0,0.0,0.0,5
0.0,1.846716,0.0,1.5302836,1.6912019,1.8817908,1.4293323,1.8152752,1.790807,0.37068093,0.0,0.0,0.0,2.2328024,1.5652449,1.7792621,1.6803923,0.0,1.5664569,1.5062894,1.2523998,2.0636425,0.0,1.9168792,0.0,2.0670469,1.1541557,1.0795124,1.4895755,1.9471402,0.0,0.0,0.0,6
1.268671,0.33917534,1.6558255,0.0,0.47350323,0.25243068,0.0,1.2424166,0.22075784,0.0,0.0,0.0,0.0,0.7348066,0.0,0.39508778,0.27961135,0.0,0.0,0.0,0.33542943,1.1048741,0.0,0.77207184,0.10760307,0.69480234,0.0,0.055526733,0.48244768,0.68584746,0.3392663,0.0,0.0,7
0.0,0.0,0.30691898,0.0,0.0,0.0,0.0,0.22013077,0.0,0.0,0.34150022,0.34650844,0.18058121,0.21718127,0.0,0.0,0.0,0.00916183,0.0,0.0,0.0,0.4592879,0.39184725,1.1043773,0.6809237,0.24825186,0.0,0.0,0.0,0.2809168,0.7914059,0.27109128,0.0,8
0.3399738,0.0,0.69505906,0.0,0.0,0.0,0.0,0.0,0.0,0.20362699,0.5618984,0.5151497,0.3060537,0.04882908,0.0,0.0,0.0,0.12395707,0.0,0.0,0.0,0.088065505,0.38760567,0.9159546,0.16562963,0.105662346,0.0,0.0,0.0,0.15225565,0.2397852,0.41141996,0.0,9
0.0,0.4370923,0.0,0.0,0.41666722,0.36244392,0.0,0.98399466,0.33157635,0.0,0.0,0.0,0.0,0.8533296,0.2667033,0.58326006,0.3363067,0.0,0.008793712,0.0,0.6383904,1.1255596,0.0,0.27749634,0.333498,0.8054728,0.06262952,0.14087826,0.69969594,0.7883709,0.54773974,0.0,0.0,10
