Filename,Smiles,Predicted_Y,product,pro_from_smi1_name,Initial_Y
842,Cc1ccc2c(C#Cc3ccccc3)c3ccccc3c(-c3ccccc3)c2c1,0.3270266540698045,Cc1ccc2c(C#Cc3ccccc3)c3ccccc3c(-c3ccccc3)c2c1,a30,2.123374776441567
9276,Cc1cccc2c1Nc1ccccc1C2(C)C,0.3255698621265447,Cc1cccc2c1Nc1ccccc1C2(C)C,p246,2.1162640874903667
3930,N#Cc1c(C#N)c2ccccc2c2ccccc12,0.3250576298466761,N#Cc1c(C#N)c2ccccc2c2ccccc12,a128,2.113769513423209
2913,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cc(C)cc6cccc(c7cccc3c74)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F,0.32446992071717773,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cc(C)cc6cccc(c7cccc3c74)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F,a85,2.110910988821887
657,Cc1c2ccccc2c(C)c2c(C#N)cccc12,0.3230198995381572,Cc1c2ccccc2c(C)c2c(C#N)cccc12,a25,2.1038748379023318
1712,Cc1cc(-c2ccccc2)cc2cc3ccccc3cc12,0.3220448336407842,Cc1cc(-c2ccccc2)cc2cc3ccccc3cc12,a53,2.099156575242103
2916,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cccc6cc(C)cc(c7cccc3c47)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F,0.32056181587513366,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cccc6cc(C)cc(c7cccc3c47)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F,a85,2.0920006535712536
2758,CC(C)(C)c1ccc(C#Cc2ccc3c4cc(C#N)c(C#Cc5ccc(C(C)(C)C)cc5)c5cccc(c6cccc2c63)c54)cc1,0.31978386816336296,CC(C)(C)c1ccc(C#Cc2ccc3c4cc(C#N)c(C#Cc5ccc(C(C)(C)C)cc5)c5cccc(c6cccc2c63)c54)cc1,a76,2.088256626359908
3932,N#Cc1ccc2c(c1)cc(C#N)c1ccccc12,0.3188593519966148,N#Cc1ccc2c(c1)cc(C#N)c1ccccc12,a128,2.0838159216956407
7195,N#Cc1cccc(C2=Cc3nc2ccc2[nH]c(cc2-c2ccccc2)c2nc(ccc4[nH]c3cc4-c3ccccc3)C(c3ccccc3)=C2)c1,0.3166802364114587,N#Cc1cccc(C2=Cc3nc2ccc2[nH]c(cc2-c2ccccc2)c2nc(ccc4[nH]c3cc4-c3ccccc3)C(c3ccccc3)=C2)c1,p94,2.0733863564508286
896,Cc1ccc(C#Cc2c3ccccc3c(C#C[Si](C)(C)C)c3ccccc23)cc1,0.3157717428507575,Cc1ccc(C#Cc2c3ccccc3c(C#C[Si](C)(C)C)c3ccccc23)cc1,a31,2.0690536066502734
1624,Cc1cccc2cc3c(ccc4ccccc43)cc12,0.3150042665519229,Cc1cccc2cc3c(ccc4ccccc43)cc12,a51,2.065400446409024
925,Cc1ccc(-c2c3ccccc3cc3ccccc23)cc1,0.3119266574712053,Cc1ccc(-c2c3ccccc3cc3ccccc23)cc1,a32,2.050815813109663
968,Cc1ccc2c(-c3ccccc3)c3ccccc3c(-c3ccc(C#N)cc3)c2c1,0.3115032008967184,Cc1ccc2c(-c3ccccc3)c3ccccc3c(-c3ccc(C#N)cc3)c2c1,a33,2.0488171503748465
1679,Cc1c2ccc3ccccc3c2cc2ccc3ccccc3c12,0.3103608868618595,Cc1c2ccc3ccccc3c2cc2ccc3ccccc3c12,a52,2.043435278300496
5999,CC1=CC(C)=[N+]2C1=C(c1cccc(C)c1)c1c(C)c(-c3c4ccccc4cc4ccccc34)c(C)n1[B-]2(F)F,0.30942964770309944,CC1=CC(C)=[N+]2C1=C(c1cccc(C)c1)c1c(C)c(-c3c4ccccc4cc4ccccc34)c(C)n1[B-]2(F)F,p43,2.0390583214115723
2165,Cc1ccc2c(-c3ccc4ccc5ccc[n+]6c5c4c3O[B-]6(F)F)c3ccccc3cc2c1,0.30908253222586723,Cc1ccc2c(-c3ccc4ccc5ccc[n+]6c5c4c3O[B-]6(F)F)c3ccccc3cc2c1,a61,2.037429228819951
4215,N#Cc1cccc2c1[nH]c1cnccc12,0.30819618759149026,N#Cc1cccc2c1[nH]c1cnccc12,a140,2.0332753124955225
2626,N#Cc1cccc(C#Cc2ccc3c4cccc5cccc(c6cccc2c63)c54)c1,0.3080662606849351,N#Cc1cccc(C#Cc2ccc3c4cccc5cccc(c6cccc2c63)c54)c1,a73,2.0326671130598206
4186,Cc1cccc2[nH]c3cnccc3c12,0.3073891844671744,Cc1cccc2[nH]c3cnccc3c12,a140,2.0295006019597284
2264,C=C(C)C(=O)OCCCc1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(C#N)cccc23)cc1,0.3064849291109325,C=C(C)C(=O)OCCCc1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(C#N)cccc23)cc1,a62,2.02527932435327
21,N#Cc1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c23)cc1,0.3033872566492508,N#Cc1ccc(-c2c3ccccc3c(-c3ccccc3)c3c(-c4ccccc4)c4ccccc4c(-c4ccccc4)c23)cc1,a1,2.0108851023327765
4778,CCCC[C@@H](CC)C[C@]1(C[C@@H](CC)CCCC)c2ccccc2-c2c(C#N)cccc21,0.3032869039743438,CCCCC(CC)CC1(CC(CC)CCCC)c2ccccc2-c2c(C#N)cccc21,a179,2.010420499639447
2976,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cccc6cccc(c7ccc(C#N)c3c74)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F,0.30307108715127573,CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc4c5cccc6cccc(c7ccc(C#N)c3c74)c65)cc1)c1c(C)cc(C)n1[B-]2(F)F,a85,2.009421696304083
129,N#Cc1ccc2c(C#Cc3ccccc3)c3cc4ccccc4cc3c(C#Cc3ccccc3)c2c1,0.2964576530685117,N#Cc1ccc2c(C#Cc3ccccc3)c3cc4ccccc4cc3c(C#Cc3ccccc3)c2c1,a4,1.9790540393892295
7034,Cc1cc2cc3nc(c4ccc(ccc5nc(cc1[nH]2)C=C5)[nH]4)C=C3,0.295767733596266,Cc1cc2cc3nc(c4ccc(ccc5nc(cc1[nH]2)C=C5)[nH]4)C=C3,p87,1.9759126134147875
